run_id,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,final_cooperation_rate,final_constrained_rate,final_population,extinction_occurred,rounds_completed,total_defections,total_redemptions,avg_trust_level,cooperation_benefit_total,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,total_mixing_events,shock_frequency,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor,outcome_category,extinction_category,shock_severity,trust_development,group_complexity
0,2,0.31356319332789334,3,0.955846721468153,1.4668621739604772,15,0.17767216725676221,2.3763543146423114,0.11261155192337774,1.8321371865593943,0.32400050940115144,0.10365759287000056,0.047574156586173685,0.08268756260935706,300,200,800,0.0,0.0,0,True,299,880893,70,0.5,0,0.5423642815156934,0.45763571848430656,0.5,0.5,0.0,19,0.5,0.20631981191498444,0.011844811150450813,0.31993033918863395,0.04134378130467853,,Extinct,Frequent,Fast,Complex
1,10,0.5983875549669685,3,0.8916588469866479,1.2480123228664912,10,0.14399027480628634,2.2460451477309658,0.07582413462760257,1.2903141207157771,0.17932408909786063,0.022649643268715356,0.03410939157797223,0.034727168295717016,300,200,800,0.0,0.0,0,True,300,1335301,188,0.5,0,0.7313218957960161,0.2686781042039839,0.5,0.5,0.0,29,0.1,0.09783695160104972,0.014399027480628634,0.12630563680909043,0.017363584147858508,,Extinct,Rare,Slow,Complex
2,20,0.4340909437639939,2,1.0691444336217095,1.4328450286328258,10,0.1753147994857988,1.7990605477577382,0.17683558051995069,1.9467744178945479,0.3034924272943504,0.04526100447344342,0.02363983700770812,0.013740966459514793,300,200,800,0.0,0.0,0,True,299,718137,92,0.5,0,0.7155504351567814,0.28444956484321865,0.5,0.5,0.0,29,0.05,0.3442589843297714,0.01753147994857988,0.1491338840871499,0.006870483229757396,,Extinct,Rare,Fast,Moderate
3,20,0.5915283402862256,3,1.0425187663467865,1.1603206988657346,25,0.2769307187716707,2.0760948781417765,0.1863416419266803,1.8264708264753295,0.10017737614006089,0.030776822830468273,0.04949055466465628,0.01322512864976595,300,200,800,0.0,1.0,2,False,300,2351966,348,0.1063607020442786,0,0.7277291264764613,0.2722708735235388,0.03888848865946018,0.173832915429097,-0.13494442676963683,12,0.05,0.34034757273659366,0.011077228750866829,0.30722328749595423,0.0014066339678150087,,Survived,Rare,Fast,Complex
4,2,0.0,1,0.817616976159379,1.203405291209368,0,0.1156318026058094,2.2975118564415067,0.1764191758527187,1.9414802033932568,0.10201226898047976,0.009201331991360062,0.02509053602021494,0.09504333975326919,300,200,800,0.0,1.0,3,False,300,1791201,308,0.02604056372166257,0,1.0,0.0,0.02604056372166257,0.02604056372166257,0.0,0,0.5,0.34251433741700704,0.1156318026058094,0.09019828774831735,0.0024749821451646313,,Survived,Frequent,Fast,Simple
5,5,0.33351948757786976,3,0.8627007462307847,1.135090470670627,15,0.06990250943282157,1.5922846488878264,0.07995615920181631,1.244161007859616,0.331535235555271,0.12310475502722616,0.032868785037792,0.014399704099379563,300,200,800,0.0,0.0,0,True,300,745196,68,0.5,0,0.5568885759719017,0.4431114240280983,0.5,0.5,0.0,19,0.2,0.09947833561711569,0.004660167295521438,0.37131725929838033,0.0071998520496897814,,Extinct,Occasional,Slow,Complex
6,10,0.0,1,0.9566525177141343,1.3870856632713144,0,0.28315413711807313,1.8628673206035193,0.10377106810502511,1.8198928351865828,0.3228889646511884,0.12250827565663303,0.03495202776852992,0.08481098959772049,300,200,800,0.0,1.0,1,False,300,1065422,139,0.08979196641188933,0,1.0,0.0,0.08979196641188933,0.08979196641188933,0.0,0,0.1,0.18885222334399412,0.28315413711807313,0.3794130152108998,0.007615345529317613,,Survived,Rare,Moderate,Simple
7,2,0.0,1,1.0141740413424605,1.2906429122436305,0,0.09256346357996593,2.396333917167035,0.08748324743805476,1.3301571477272922,0.2940973873714831,0.13166692365685378,0.026456554236299612,0.007842911105668938,300,200,800,0.0,1.0,1,False,300,927358,116,0.20057800763700664,0,1.0,0.0,0.20057800763700664,0.20057800763700664,0.0,0,0.5,0.11636646688612386,0.09256346357996593,0.4476983792125341,0.0015731154836492285,,Survived,Frequent,Moderate,Simple
8,5,0.012968186220112088,2,1.074956372906999,1.1409303029890079,10,0.08786528763111896,1.7633696390023987,0.0966885114023919,1.8748209366277064,0.10675815015557188,0.034931325277701195,0.04710550394934339,0.027332038617130253,300,200,800,0.0,0.0,0,True,299,1341405,172,0.5,0,0.5263904658014055,0.47360953419859453,0.5,0.5,0.0,29,0.2,0.18127364550857106,0.008786528763111897,0.3272005484058874,0.013666019308565126,,Extinct,Occasional,Moderate,Moderate
9,5,0.5506511844589663,3,1.0877593590888397,1.2423291017209857,10,0.1908360085279449,1.9862167722996564,0.1940419094108568,1.977447787198251,0.257428728107986,0.005544081871832146,0.03995717696098755,0.05005969386939723,300,200,800,0.0,1.0,3,False,300,1051563,131,0.1512827629939138,0,0.7023691251331834,0.2976308748668166,0.14157935849058537,0.16098616749724223,-0.019406809006656867,30,0.2,0.38370774438822225,0.01908360085279449,0.021536375961530286,0.007573168803191901,,Survived,Occasional,Fast,Complex
