run_id,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,final_cooperation_rate,behavioral_cooperation_rate,cooperation_resilience,final_constrained_rate,final_population,extinction_occurred,rounds_completed,total_defections,total_redemptions,redemption_rate,avg_trust_level,cooperation_benefit_total,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,total_mixing_events,shock_frequency,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor,outcome_category,extinction_category,shock_severity,trust_development,group_complexity
0,20,0.5379873061089884,2,1.0964204690624446,1.3928357977585988,25,0.1872121347110149,2.255504782622892,0.14249933882494795,1.2802749261961919,0.25078963780387387,0.06346416968696621,0.03879583964475472,0.01792236420992819,300,200,800,0.964824120603015,0.45352782497995076,0.964824120603015,0.035175879396984924,796,False,300,266593,660,0.0024695700328901827,0.6275761290061752,0,0.7561507702833813,0.2438492297166187,0.7227681836790693,0.532384074333281,0.1903841093457882,12,0.05,0.18243833049711639,0.007488485388440595,0.25305738403991546,0.01124764795350555,High_Coop,Survived,Rare,Moderate,Moderate
1,20,0.6372381519795556,2,0.9197597470224148,1.4973679618850946,15,0.05704531870795461,1.855666092348441,0.19641416630923952,1.4974739381595878,0.38540279559153456,0.0795799482461554,0.023697708916368777,0.07709588845165555,300,200,800,0.9692513368983957,0.5261603873863234,0.9692513368983957,0.03074866310160428,748,False,300,184729,949,0.005110998610497744,0.5858527062857191,0,0.8028470393708446,0.1971529606291554,0.758728388881595,0.41297702368984307,0.3457513651917519,20,0.05,0.29412509513342916,0.003803021247196974,0.20648513491972031,0.045166834892904316,High_Coop,Survived,Rare,Fast,Moderate
2,20,0.22561451571924335,2,0.8047843721673622,1.1243946595142436,20,0.15310892968312406,2.0387779059236673,0.08066573877706856,1.4757054878996472,0.1665218503638881,0.10074740313755207,0.03176455850055541,0.05128331813716511,300,200,800,0.8596938775510204,0.39204297342992467,0.8596938775510204,0.14030612244897958,784,False,300,289215,551,0.001901534341503144,0.5844279852249608,0,0.6333766277390243,0.3666233722609757,0.6245397958479252,0.5443161746019962,0.08022362124592897,15,0.05,0.11903887339879946,0.007655446484156203,0.6050101107896416,0.029971406294554092,High_Coop,Survived,Rare,Moderate,Moderate
3,20,0.7205310718897078,2,1.1802760066466642,1.4858718473717478,25,0.12677947614140717,2.0855761072983823,0.11298199214043789,1.7940173893537357,0.2973546468628517,0.14017707366585963,0.03411162430347335,0.09193909253682347,300,200,800,0.9696969696969697,0.6125260057504851,0.9696969696969697,0.030303030303030304,792,False,300,170290,517,0.0030268080347995107,0.6348038859448855,0,0.8332184015521634,0.16678159844783655,0.7523411684235577,0.5172666034662133,0.23507456495734436,12,0.05,0.20269165858377267,0.005071179045656286,0.47141376516141426,0.05836329321262196,High_Coop,Survived,Rare,Fast,Moderate
4,20,0.16354462898213917,2,0.9228093978354964,1.4120704469898353,20,0.21266216956276973,2.3643666111454085,0.09269951943687518,1.2136071559861807,0.36668226022253647,0.06724125527242235,0.02827457525513504,0.056239901421361274,300,200,800,0.9141414141414141,0.4574620661644783,0.9141414141414141,0.08585858585858586,792,False,300,224851,1448,0.006398614222776062,0.5736431076569706,0,0.6104983595321652,0.38950164046783475,0.6201758707577478,0.5271103445561932,0.09306552620155462,15,0.05,0.11250080014507177,0.010633108478138486,0.18337744299823552,0.03226163182567136,High_Coop,Survived,Rare,Moderate,Moderate
5,2,0.0,1,1.071450243305717,1.26599007175977,0,0.19994510476289484,2.38199393798263,0.11242000639918487,1.7953095108974888,0.2622040692163063,0.10417696020826406,0.030191372135473002,0.014489730987132255,300,200,800,0.5690747782002535,0.24865856000768252,0.5690747782002535,0.4309252217997465,789,False,300,365372,5220,0.014085571194197392,0.556527333851451,0,1.0,0.0,0.556527333851451,0.556527333851451,0.0,0,0.5,0.20182870670361314,0.19994510476289484,0.39731252272184553,0.008063931354493467,Medium_Coop,Survived,Frequent,Fast,Simple
6,2,0.336389765199597,2,0.8940895191940113,1.4294215171330058,15,0.12215056053479241,2.03846480853395,0.14046122035435815,1.3839531813593866,0.22775639299051129,0.02249645625398139,0.031215846754394996,0.03624717684512362,300,200,800,0.4327044025157233,0.08628796583075232,0.4327044025157233,0.5672955974842767,795,False,300,500453,2960,0.0058798640480082955,0.3101497578896666,0,0.683547307423319,0.31645269257668096,0.2926096999957476,0.3276898157835855,-0.03508011578783793,20,0.5,0.1943917527670358,0.008143370702319495,0.09877420325548723,0.011242053122699021,Medium_Coop,Survived,Frequent,Moderate,Moderate
7,10,0.0,1,1.1081385377532986,1.3474898116680807,0,0.09950159815603425,2.031392592143003,0.16660974638103895,1.6828901663857587,0.24625712563145039,0.07792452473266522,0.02595394844137461,0.044964626570614966,300,200,800,0.9347826086956522,0.7108028763689141,0.9347826086956522,0.06521739130434782,782,False,300,100303,559,0.00554222601177847,0.7604374227139158,0,1.0,0.0,0.7604374227139158,0.7604374227139158,0.0,0,0.1,0.28038590380867573,0.09950159815603425,0.3164356139252898,0.0341927847426521,High_Coop,Survived,Rare,Fast,Simple
8,5,0.5653992208975424,3,0.8458560867523075,1.2455709223705493,15,0.28097687524258036,1.509355861609436,0.15323847786705702,1.6446898492508863,0.2824984689778238,0.0627805216490748,0.02348744242668127,0.025532843405954655,300,200,800,0.8005284015852048,0.25772847841813357,0.8005284015852048,0.19947159841479525,757,False,300,332054,1676,0.005022023791687891,0.46978851600563376,0,0.7126459747149402,0.28735402528505977,0.5513576784167245,0.388219353594543,0.16313832482218144,20,0.2,0.2520297690626053,0.01873179168283869,0.22223313944403386,0.011995036613087668,High_Coop,Survived,Occasional,Fast,Complex
9,2,0.76071700343696,3,1.06459938453181,1.2765509837710054,25,0.24592224887701697,2.1343007969002765,0.13518126801573283,1.3816841060019658,0.30861939313978703,0.11907369877207692,0.049545225634231575,0.07460576507077775,300,200,800,0.6796973518284993,0.15771934722468972,0.6796973518284993,0.3203026481715006,793,False,300,539124,5834,0.010705412160203171,0.4480461192759885,0,0.819357376716327,0.180642623283673,0.466378486789065,0.429713751762912,0.03666473502615303,12,0.5,0.18677780944652994,0.00983688995508068,0.3858270135284185,0.03342682351557806,Medium_Coop,Survived,Frequent,Moderate,Complex
