run_id,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,final_cooperation_rate,behavioral_cooperation_rate,cooperation_resilience,final_constrained_rate,final_population,extinction_occurred,rounds_completed,total_defections,total_redemptions,redemption_rate,avg_trust_level,cooperation_benefit_total,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,total_mixing_events,shock_frequency,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor,total_shocks_experienced,average_shock_severity,recovery_success_rate,crisis_response_knowledge,outcome_category,extinction_category,shock_severity,trust_development,group_complexity
0,20,0.6238906453240274,3,0.9727731570443248,1.428655649444284,25,0.14979047765371173,2.4486625580450374,0.1610270308348482,1.8439828962722005,0.12399464381112987,0.11063100425852336,0.025894927713673545,0.06904584801068946,300,200,800,0.7008985879332478,0.10712036501510186,0.7008985879332478,0.2991014120667522,779,False,300,466264,2389,0.00509758819425033,0.31783052422256325,0,0.7468221836642889,0.25317781633571107,0.3513693979858034,0.2842916504593231,0.06707774752648032,12,0.05,0.29693109069695633,0.0059916191061484695,0.8922240578959026,0.021944878068628857,3,0.5405913097213749,0.15,0.15,High_Coop,Survived,Rare,Fast,Complex
1,10,0.5552321753744043,3,0.9330433075130619,1.3123887475035207,10,0.12330533410635326,1.5675374285841235,0.1936958059868667,1.5699618779523483,0.28936221426546743,0.11252526926621839,0.037260451103496794,0.03299620809090139,300,200,800,0.9209535759096612,0.23137269830857893,0.9209535759096612,0.07904642409033877,797,False,300,410973,2370,0.0057337368722828255,0.5346634052698104,0,0.7019631729372628,0.2980368270627372,0.6715950721443033,0.39773173839531756,0.2738633337489857,30,0.1,0.30409503131863497,0.012330533410635326,0.38887340405470205,0.017641864978872605,5,0.3414141553969492,0.15,0.15,High_Coop,Survived,Rare,Fast,Complex
2,2,0.5087659237272936,2,1.0437822146679487,1.2230399006009411,10,0.19706714138065606,2.0919486466002857,0.07515765320839521,1.4488302713500263,0.23816813044390897,0.10521657903292679,0.029356366936915818,0.051455918280987216,300,200,800,0.7917189460476788,0.038564501464794426,0.7917189460476788,0.20828105395232122,797,False,300,537538,5318,0.009796336413339818,0.39913200864813636,0,0.7529295888473583,0.2470704111526417,0.3859674707321544,0.4122965465641183,-0.026329075831963866,30,0.5,0.10889068309195041,0.019706714138065608,0.44177438365418237,0.020537704020324787,39,0.5859266776749332,0.15,0.15,High_Coop,Survived,Frequent,Moderate,Moderate
3,10,0.0,1,0.8715109538579744,1.4983851355175077,0,0.07587291336216377,1.6992829886492324,0.08107493820112861,1.2553835444826966,0.11138530251738689,0.0015817679772542892,0.03749539330288128,0.055930145557007906,300,200,800,0.9848866498740554,0.36863629228262573,0.9848866498740554,0.015113350125944584,794,False,300,313833,4423,0.01389761701271932,0.6269543470024019,0,1.0,0.0,0.6269543470024019,0.6269543470024019,0.0,0,0.1,0.10178014328764842,0.07587291336216377,0.014200867991604011,0.03506564788544318,11,0.5165123907233959,0.15,0.15,High_Coop,Survived,Rare,Moderate,Simple
4,10,0.4234964226434535,2,1.1353058682018498,1.2601062684450106,15,0.25343461741745194,1.566649654661552,0.05737767369239785,1.6745872149439052,0.25892959335559995,0.07414202586775434,0.0207625597620698,0.029982627327805378,300,200,800,0.9555555555555556,0.27384379944492,0.9555555555555556,0.044444444444444446,495,False,300,252642,1747,0.0068674353057718695,0.5021294688060556,0,0.7086435123941933,0.29135648760580674,0.541450511539607,0.4628084260725041,0.07864208546710288,20,0.1,0.09608391878851269,0.016895641161163464,0.28634048702935117,0.01505516073352084,6,0.5598117471470125,0.15,0.15,High_Coop,Survived,Rare,Slow,Moderate
5,20,0.10929597071980268,3,1.107103764215784,1.251518146160046,25,0.21277436711038505,1.7041775443912397,0.12502288657482016,1.4621731095089427,0.30713094246131967,0.07473424810177338,0.028819353577082492,0.041137280761930156,300,200,800,0.4759493670886076,0.0328299244886733,0.4759493670886076,0.5240506329113924,790,False,300,542200,4223,0.00772844481290136,0.25263676387594153,0,0.40700792618892834,0.5929920738110717,0.24199480300509116,0.2632787247467919,-0.021283921741700768,12,0.05,0.18280510282288864,0.008510974684415402,0.2433302470368497,0.01039278948635006,6,0.4988571054364381,0.15,0.15,Medium_Coop,Survived,Rare,Moderate,Complex
6,10,0.15810495791531143,3,1.139956314697367,1.2799008726382333,20,0.25147293689530986,2.434601728985424,0.09693677578942633,1.738653805275,0.38822422671044654,0.14152066777197092,0.04338811287462269,0.053132762911540225,300,200,800,0.6037974683544304,0.04434252411705457,0.6037974683544304,0.3962025316455696,790,False,300,616874,5921,0.009507141194132901,0.43395202037945935,0,0.44122225394140807,0.5587777460585919,0.4094103782959886,0.45849366246293005,-0.049083284166941465,15,0.1,0.1685394940973756,0.012573646844765493,0.3645333238760568,0.023057069813805686,14,0.5999514997859788,0.15,0.15,Medium_Coop,Survived,Rare,Moderate,Complex
7,5,0.0,1,1.0519372869938914,1.3713063136847494,0,0.1257149067556771,2.3462553754643043,0.1594129189341621,1.9242400042408092,0.31134587126567015,0.12898872139224665,0.04166206616527364,0.0042638507826839095,300,200,800,0.4468354430379747,0.13962933456780818,0.4468354430379747,0.5531645569620253,790,False,300,472619,6349,0.013255582836431662,0.6868936353304597,0,1.0,0.0,0.6868936353304597,0.6868936353304597,0.0,0,0.2,0.30674871580591184,0.1257149067556771,0.4142939839474573,0.0029288119646243764,31,0.46229360540061143,0.15,0.15,Medium_Coop,Survived,Occasional,Fast,Simple
8,20,0.0,1,0.9377075410321183,1.1928377470198543,0,0.2431104532805976,1.7195438966595409,0.1679950206851848,1.8714806209190094,0.3157265800796845,0.14928543651393408,0.036406895690697216,0.06307632128308714,300,200,800,0.9987421383647799,0.6548909242484432,0.9987421383647799,0.0012578616352201257,795,False,300,145385,1084,0.007400883463394984,0.8653962792263847,0,1.0,0.0,0.8653962792263847,0.8653962792263847,0.0,0,0.05,0.31439942562321144,0.2431104532805976,0.4728313861831232,0.05458601374567163,2,0.4200459890008444,0.15,0.15,High_Coop,Survived,Rare,Fast,Simple
9,5,0.40804192329387157,2,1.0454812243738087,1.3230182807866175,20,0.27276671624593,2.1854660759434834,0.10543747330435066,1.307971681891703,0.26601881192069643,0.09286792438099174,0.032254416292381724,0.0072383882861019825,300,200,800,0.5721455457967378,0.07738846367035014,0.5721455457967378,0.42785445420326224,797,False,300,531453,5326,0.009922146730777471,0.3855880936141195,0,0.7039732053353461,0.2960267946646539,0.3740019686806465,0.3971742185475925,-0.023172249866945993,15,0.2,0.13790922929230306,0.0136383358122965,0.34910284618772314,0.002791036340076837,19,0.4074983632300737,0.15,0.15,Medium_Coop,Survived,Occasional,Moderate,Moderate
