run_id,initial_population,max_population,pop_multiplier,base_birth_rate,max_rounds,maslow_variation,recovery_threshold,cooperation_bonus,trust_threshold,relationship_memory,shock_interval_min,shock_interval_max,shock_interval_avg,shock_mean_years,pareto_alpha,pareto_xm,trust_delta_help,trust_delta_betray,serendipity_rate,community_buffer_factor,acute_decay,chronic_window,final_cooperation_rate,final_constrained_rate,final_population,extinction_occurred,first_cascade_round,cascade_events,shock_events,population_growth,population_stability,cooperation_resilience,rounds_completed,total_defections,total_redemptions,redemption_rate,avg_trust_level,cooperation_benefit_total,physiological_change,safety_change,love_change,esteem_change,self_actualization_change,num_groups,homophily_bias,in_group_trust_modifier,out_group_trust_modifier,out_group_constraint_amplifier,reputational_spillover,mixing_event_frequency,mixing_event_bonus_multiplier,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,group_segregation_index,total_mixing_events,mixing_event_success_rate,reputational_spillover_events,out_group_constraint_amplifications,group_extinction_events,total_interactions,interaction_intensity,outcome_category,extinction_category,has_intergroup,segregation_level,trust_asymmetry_level,shock_frequency_proxy,growth_potential,resilience_index,intergroup_tension,stress_recovery_rate,social_support_effectiveness
0,465,800,1.7204301075268817,0.007942739595289116,200,0.6392108978555997,0.45686695463316396,0.23304172376383592,0.6,40,9.621487507377424,21.780597248254352,15.701042377815888,5,1.5,0.3,0.04,-0.06,0.05,0.0,0.97,16,1.0,0.0,800,False,200,0,9,1.7204301075268817,0.0,1.0,200,815456,0,0.0,0.5667777340567198,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,0.0,0,1.0,0.0,0.0,0.5667777340567198,0.5667777340567198,0.0,0.0,0,0.0,0,0,0,0,0.0,High_Coop,Survived,False,,Low,0.06369003891186913,0.013664928335981274,0.0,0.0,0.030000000000000027,0.0
1,140,800,5.714285714285714,0.010275202923079279,200,0.42226802039593275,0.3641323864921562,0.2714285865649883,0.6,40,11.864239972690564,27.43459632770117,19.649418150195867,5,1.5,0.3,0.04,-0.06,0.05,0.0,0.97,16,1.0,0.0,800,False,200,0,9,5.714285714285714,0.0,1.0,200,853476,0,0.0,0.5668414145619987,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,0.0,0,1.0,0.0,0.0,0.5668414145619987,0.5668414145619987,0.0,0.0,0,0.0,0,0,0,0,0.0,High_Coop,Survived,False,,Low,0.050892092191036804,0.05871544527473874,0.0,0.0,0.030000000000000027,0.0
2,455,800,1.7582417582417582,0.009784833602535495,200,0.34889265875212505,0.49962299007224414,0.22048489521989278,0.6,40,12.522805065795566,31.79858286552515,22.160693965660357,5,1.5,0.3,0.04,-0.06,0.05,0.0,0.97,16,1.0,0.0,800,False,200,0,11,1.7582417582417582,0.0,1.0,200,793988,0,0.0,0.5787920728248209,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,0.0,0,1.0,0.0,0.0,0.5787920728248209,0.5787920728248209,0.0,0.0,0,0.0,0,0,0,0,0.0,High_Coop,Survived,False,,Low,0.04512494065165894,0.017204103037425048,0.0,0.0,0.030000000000000027,0.0
3,466,800,1.7167381974248928,0.009706481759940936,200,0.4968726280788803,0.4405061554241858,0.22091870783057638,0.6,40,5.261793214083781,23.750289632749784,14.506041423416782,5,1.5,0.3,0.04,-0.06,0.05,0.04,0.97,16,0.99875,0.00125,800,False,200,0,6,1.7167381974248928,0.0,0.99875,200,1195596,540,0.00045165758333082413,0.05409126154368096,1291.6151068623383,0.0,0.0,0.0,0.0,0.0,2,0.2149334399481102,1.0776308694841348,0.8955421394491209,1.1008834475185587,0.07863421407823784,10,1.959303899286266,0.0,1.0,0.05595536760835258,0.05222715547900934,0.003728212129343239,0.0,20,1.0,2117,2117,0,5167,6.45875,High_Coop,Survived,True,,Low,0.06893679473338069,0.016663487999898603,0.037242528210664774,0.009042614549725905,0.030000000000000027,0.0021636504617472386
4,333,800,2.4024024024024024,0.009045836627547613,200,0.3171222173877281,0.46600442343139464,0.23152025975809837,0.6,40,14.23386889651978,32.430571659565906,23.332220278042843,5,1.5,0.3,0.04,-0.06,0.05,0.04,0.97,16,0.71625,0.28375,800,False,200,0,10,2.4024024024024024,0.0,0.71625,200,1124293,533,0.00047407570802273074,0.3289463997616366,819.8529472596391,0.0,0.0,0.0,0.0,0.0,2,0.3060245287064019,1.3126310783518007,0.841663214276139,1.2493904788194428,0.13195517019234007,15,1.8540164960626004,0.0,1.0,0.34814785832795647,0.3097449411953167,0.03840291713263977,0.0,13,1.0,1374,1374,0,3319,4.14875,High_Coop,Survived,True,,Low,0.042859187341937874,0.021731739645760032,0.03828563250632249,0.02610396194094118,0.030000000000000027,0.013157855990465464
5,131,800,6.106870229007634,0.011180262000986069,200,0.5879906923559016,0.4183171157218558,0.13762623930248596,0.6,40,13.769258419738726,29.02492910431658,21.39709376202765,5,1.5,0.3,0.04,-0.06,0.05,0.04,0.97,16,1.0,0.0,800,False,200,0,7,6.106870229007634,0.0,1.0,200,965537,77,7.974836800661186e-05,0.33198393914886204,305.311010431598,0.0,0.0,0.0,0.0,0.0,2,0.45640369282427795,1.4667824099097755,0.828253130406746,1.1190063470133644,0.07805046080784138,15,2.174908807709974,0.0,1.0,0.34687935470461223,0.31708852359311185,0.029790831111500382,0.0,13,1.0,1134,1134,0,2602,3.2525,High_Coop,Survived,True,,Low,0.046735318876559295,0.06827640916632714,0.038130587244937626,0.015000193150651663,0.030000000000000027,0.013279357565954482
6,125,800,6.4,0.007581653947239756,200,0.3192570722645684,0.312288292422938,0.2728173769299902,0.6,40,8.8390932373113,21.06918759254213,14.954140414926714,5,1.5,0.3,0.04,-0.06,0.05,0.08,0.97,16,0.8325,0.1675,800,False,200,0,11,6.4,0.0,0.8325,200,1015322,148,0.000145766564695732,0.05593929246486555,278.5433488145162,0.0,0.0,0.0,0.0,0.0,3,0.19540848328926197,1.1899539574939002,0.8475739521572121,1.1534797793774574,0.1265273982595649,25,1.8768167207470827,0.0,1.0,0.05727303978973949,0.054605545139991614,0.002667494649747873,0.0,8,1.0,729,729,0,1662,2.0775,High_Coop,Survived,True,,Low,0.06687111209694367,0.04852258526233444,0.07465031103224451,0.022246093222660895,0.030000000000000027,0.004475143397189244
7,484,800,1.6528925619834711,0.007633695084680484,200,0.5508881897509448,0.3011129951939526,0.15883557219040387,0.6,40,6.706160600395542,26.492456923657763,16.599308762026652,5,1.5,0.3,0.04,-0.06,0.05,0.08,0.97,16,0.2125,0.7875,800,False,200,0,10,1.6528925619834711,0.0,0.2125,200,1329521,59,4.437688460731346e-05,0.493187091461861,461.4661305651514,0.0,0.0,0.0,0.0,0.0,3,0.45695123875280824,1.4356848668989628,0.8489624493182272,1.1124279996536799,0.01118435314732839,15,1.8226519410970776,0.0,1.0,0.5222687329716016,0.4641054499521205,0.058163283019481093,0.0,13,1.0,1406,1406,0,3378,4.2225,Low_Coop,Survived,True,,Low,0.06024347244432529,0.012617677825918156,0.07518052220445398,0.001879177125071351,0.030000000000000027,0.039454967316948884
8,390,800,2.051282051282051,0.011662560453188094,200,0.620597063215022,0.3352929687199152,0.3533696473453195,0.6,40,6.8818451902135305,22.106909409969873,14.494377300091703,5,1.5,0.3,0.04,-0.06,0.05,0.08,0.97,16,0.3225,0.6775,800,False,200,0,10,2.051282051282051,0.0,0.3225,200,1285794,425,0.0003305350623816879,0.057885030225608036,1815.116756549261,0.0,0.0,0.0,0.0,0.0,2,0.28120584527151565,1.494823862775517,0.8004503901477994,1.285883792910969,0.09899995624710406,10,2.0982822629689144,0.0,1.0,0.06321213662357203,0.052557923827644036,0.010654212795927993,0.0,20,1.0,2059,2059,0,5123,6.40375,Medium_Coop,Survived,True,,Low,0.06899227054022343,0.0239232009296166,0.07448061835678213,0.025403152082986033,0.030000000000000027,0.004630802418048643
9,460,800,1.7391304347826086,0.006479052205210437,200,0.5178832462906404,0.36418473278359503,0.3269700728049626,0.6,40,11.49410351570057,28.57783307555237,20.035968295626468,5,2.0,0.3,0.04,-0.06,0.05,0.0,0.97,16,0.4975,0.5025,800,False,200,0,10,1.7391304347826086,0.0,0.4975,200,1077465,468,0.0004343528560092439,0.05804302851770418,2268.9388966559895,0.0,0.0,0.0,0.0,0.0,2,0.7081717388968449,1.499346005479889,0.8097686300058194,1.147108952763527,0.09305853928741112,10,2.2001541366100787,0.0,1.0,0.05935696821709767,0.0567290888183107,0.0026278793987869684,0.0,20,1.0,2250,2250,0,5120,6.4,Medium_Coop,Survived,True,,Low,0.049910240685411944,0.011267916878626846,0.0,0.020306872223803497,0.030000000000000027,0.0
10,483,800,1.6563146997929608,0.010456603354112845,200,0.42873243988745535,0.25061752447214347,0.22301901389797743,0.6,40,14.54477082920661,33.277217187857445,23.91099400853203,5,2.0,0.3,0.04,-0.06,0.05,0.0,0.97,16,0.725,0.275,800,False,200,0,8,1.6563146997929608,0.0,0.725,200,1237147,239,0.0001931864200454756,0.058156952506349655,666.5274541795892,0.0,0.0,0.0,0.0,0.0,3,0.019687550297597767,1.2610372741834082,0.835351580706216,1.219589274908536,0.1016653778844965,25,2.298967327182853,0.0,1.0,0.06497181994668103,0.05134208506601829,0.013629734880662735,0.0,8,1.0,812,812,0,2102,2.6275,High_Coop,Survived,True,,Low,0.041821766156738424,0.017319425845321482,0.0,0.020414758248735204,0.030000000000000027,0.0
11,209,800,3.827751196172249,0.008082612263688447,200,0.4484056344784205,0.40644106084505816,0.16762044973784657,0.6,40,6.6500471857808074,22.322584079618064,14.486315632699435,5,2.0,0.3,0.04,-0.06,0.05,0.0,0.97,16,1.0,0.0,800,False,200,0,14,3.827751196172249,0.0,1.0,200,730985,0,0.0,0.5717542976614836,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,1.0,1.0,0.0,0,1.0,0.0,0.0,0.5717542976614836,0.5717542976614836,0.0,0.0,0,0.0,0,0,0,0,0.0,High_Coop,Survived,False,,Low,0.06903066489471872,0.030938228760529943,0.0,0.0,0.030000000000000027,0.0
12,320,800,2.5,0.009660386760878091,200,0.4422165361510454,0.47935195269145625,0.26950475782178085,0.6,40,7.97428293360511,26.046642476768685,17.010462705186896,5,2.0,0.3,0.04,-0.06,0.05,0.04,0.97,16,0.6275,0.3725,800,False,200,0,9,2.5,0.0,0.6275,200,1084127,740,0.0006825768567704706,0.3064214012202981,1056.0006586168222,0.0,0.0,0.0,0.0,0.0,3,0.7279335642385776,1.2606609871213623,0.8688019782132927,1.1204867947272454,0.14281985725812682,15,1.8275655858707267,0.0,1.0,0.29695720080485355,0.31588560163574264,-0.01892840083088909,0.0,13,1.0,1490,1490,0,3347,4.18375,Medium_Coop,Survived,True,,Low,0.05878734854726063,0.024150966902195228,0.03764850605810958,0.02099532607858192,0.030000000000000027,0.012256856048811923
13,466,800,1.7167381974248928,0.0063884150406266285,200,0.460839488558848,0.31900244633628955,0.17575703938629167,0.6,40,13.200824416172278,24.466647055692256,18.833735735932265,5,2.0,0.3,0.04,-0.06,0.05,0.04,0.97,16,1.0,0.0,800,False,200,0,6,1.7167381974248928,0.0,1.0,200,1087565,255,0.00023446874439688663,0.3183237315347807,860.4680619069096,0.0,0.0,0.0,0.0,0.0,2,0.7288115387848821,1.1464427779963429,0.8335684822566904,1.22833031519011,0.013425579324535563,15,2.4117150245877816,0.0,1.0,0.3145639407944993,0.32208352227506215,-0.007519581480562865,0.0,13,1.0,1574,1574,0,3392,4.24,High_Coop,Survived,True,,Low,0.05309621065204461,0.01096723612124743,0.037876151573918215,0.002744629828821241,0.030000000000000027,0.012732949261391228
