run_id,shock_interval_years,homophily_bias,num_groups,out_group_trust_bias,out_group_penalty,intervention_interval,intervention_scale,event_bonus,base_trust_delta,group_trust_bias,resilience_threshold,resilience_noise,turnover_rate,social_diffusion,max_rounds,initial_population,max_population,final_cooperation_rate,final_constrained_rate,final_population,extinction_occurred,rounds_completed,total_defections,total_redemptions,avg_trust_level,cooperation_benefit_total,in_group_interaction_rate,out_group_interaction_rate,avg_in_group_trust,avg_out_group_trust,trust_asymmetry,total_mixing_events,shock_frequency,trust_sensitivity,intervention_intensity,resilience_variability,social_cohesion_factor,outcome_category,extinction_category,shock_severity,trust_development,group_complexity
0,2,0.5026888768446417,3,1.1996628269286944,1.3746635586622364,15,0.24537286831592048,2.2010232930507536,0.14201483025672365,1.8475089992058977,0.2320491074269435,0.007911948748366787,0.024612814464404227,0.01601928410174649,300,200,800,0.0,0.0,0,True,299,878192,120,0.5,0,0.668434318821132,0.331565681178868,0.5,0.5,0.0,19,0.5,0.26237367691999497,0.016358191221061365,0.03409601026307641,0.008009642050873246,,Extinct,Frequent,Fast,Complex
1,2,0.0,1,0.9524842090886065,1.467357537710032,0,0.09985097723259558,2.231472963272613,0.0726032394538439,1.748128734117739,0.14673284744302525,0.12187607718458807,0.021869975840285827,0.08422771624732728,300,200,800,0.0,1.0,2,False,300,1620829,284,0.10972944609776239,0,1.0,0.0,0.10972944609776239,0.10972944609776239,0.0,0,0.5,0.12691980907929523,0.09985097723259558,0.8305984604565873,0.009242260649898724,,Survived,Frequent,Moderate,Simple
2,10,0.0,1,0.8061051017842219,1.4273101418121534,0,0.09524573051339262,2.199671162439728,0.19048768852249076,1.9018153370550315,0.14097536793098947,0.0505897228250273,0.04427722399017853,0.08681611337444406,300,200,800,0.0,1.0,5,False,300,2343755,504,0.024696273905746267,0,1.0,0.0,0.024696273905746267,0.024696273905746267,0.0,0,0.1,0.3622724075522346,0.09524573051339262,0.3588550508326538,0.002144034515327592,,Survived,Rare,Fast,Simple
3,10,0.1244841029724511,3,0.804603294431987,1.2951264238360491,20,0.139080957615475,1.6609503051718468,0.13959779637481473,1.2113887967590178,0.2958496385422301,0.052780100142869844,0.04322972843564189,0.03082943394464284,300,200,800,0.0,0.0,0,True,299,821121,78,0.5,0,0.4149099825992281,0.5850900174007718,0.5,0.5,0.0,14,0.1,0.1691072065806972,0.0069540478807737505,0.17840177328908893,0.01541471697232142,,Extinct,Rare,Moderate,Complex
4,20,0.15376928873371531,3,0.9751362658506302,1.2439775045443764,10,0.10108781603749926,1.7359616123172867,0.15065494851201966,1.9767848765680252,0.16982521354538696,0.0749543762540036,0.021150987745792146,0.0856519072871531,300,200,800,0.0,0.0,0,True,300,744875,104,0.5,0,0.4339587317294962,0.5660412682705037,0.5,0.5,0.0,29,0.05,0.297812423798695,0.010108781603749926,0.44136188431155143,0.04282595364357655,,Extinct,Rare,Fast,Complex
5,5,0.42964155268030074,3,1.1095715446159584,1.27680806686924,10,0.19163509450733024,2.12132676987892,0.07892136376646222,1.698824275292917,0.3862438678383945,0.146398750949285,0.02788624612400038,0.011282049654294213,300,200,800,0.0,0.0,0,True,299,718848,65,0.5,0,0.6204203670646763,0.37957963293532365,0.5,0.5,0.0,29,0.2,0.13407352860568886,0.019163509450733023,0.37903190999148406,0.005641024827147107,,Extinct,Occasional,Moderate,Complex
6,5,0.023117729829144642,3,1.1016200990358926,1.1666988623950942,10,0.17407052404992168,1.5668690369714637,0.05865499939106385,1.4930368486997452,0.17994465551034555,0.07652455972901152,0.02082532399435738,0.03551293213193483,300,200,800,0.0,0.0,0,True,299,739468,98,0.5,0,0.3553572126351986,0.6446427873648014,0.5,0.5,0.0,29,0.2,0.08757407545131944,0.017407052404992168,0.42526719958410714,0.017756466065967414,,Extinct,Occasional,Slow,Complex
7,20,0.13145581101160211,3,1.1944605987368286,1.4070517431957466,25,0.17571216444575943,1.623176980313925,0.12325931503098125,1.7162291098813838,0.10986816832740919,0.0758557537770816,0.04088229959718141,0.09094434180884228,300,200,800,0.0,1.0,2,False,300,1228198,134,0.19049564597715835,0,0.42146756937370644,0.5785324306262936,0.18346369095893805,0.19752760099537864,-0.014063910036440586,12,0.05,0.21154122452021001,0.007028486577830378,0.6904252153456317,0.0173245011408429,,Survived,Rare,Fast,Complex
8,5,0.5537227988511416,3,1.0351614894816497,1.2968856786197709,10,0.12472799115631682,1.6997931939181272,0.08917322982801551,1.4211817774734001,0.22385251246963625,0.008659719761397554,0.026229348852913375,0.08068186704879833,300,200,800,0.0,0.0,0,True,299,879014,113,0.5,0,0.7013293077362132,0.29867069226378684,0.5,0.5,0.0,29,0.2,0.1267313692700231,0.012472799115631681,0.038684934405514765,0.040340933524399165,,Extinct,Occasional,Moderate,Complex
9,2,0.0,1,1.147962598942924,1.4596342346749014,0,0.09679918164197023,1.7236869481794714,0.051675441924064626,1.712766348650971,0.15391350227613185,0.12085848163994659,0.020574710243398363,0.07689222387535559,300,200,800,0.0,1.0,1,False,300,790867,135,0.21444969243155304,0,1.0,0.0,0.21444969243155304,0.21444969243155304,0.0,0,0.5,0.08850795797920548,0.09679918164197023,0.7852363818160528,0.016489513760448125,,Survived,Frequent,Slow,Simple
10,10,0.0,1,1.1208788550012723,1.314133184087683,0,0.18793443899517653,2.445709922911013,0.1394637347336657,1.3462557752628863,0.2788052784316298,0.04406458955981775,0.03809332020023734,0.02520111859010118,300,200,800,0.0,1.0,1,False,300,1653049,244,0.07192101880587086,0,1.0,0.0,0.07192101880587086,0.07192101880587086,0.0,0,0.1,0.18775385832492864,0.18793443899517653,0.15804790285067546,0.0018124901240476488,,Survived,Rare,Moderate,Simple
11,2,0.11280908846585228,3,0.8818721534204047,1.198132243039093,15,0.19197746554182465,1.673891693662472,0.10659532116521521,1.2054726690475857,0.2265936179254966,0.02999639328465794,0.02604481239993003,0.04383822067196111,300,200,800,0.0,0.0,0,True,299,783638,98,0.5,0,0.41007304951190104,0.589926950488099,0.5,0.5,0.0,19,0.5,0.12849774631301658,0.012798497702788311,0.13237969171100256,0.021919110335980554,,Extinct,Frequent,Moderate,Complex
12,10,0.4509329108233699,3,0.9812702191363865,1.2160933566622847,10,0.10996742703680283,1.7601722677156424,0.13564510814119246,1.7135042533013602,0.24370561390046758,0.007822562793035125,0.027816539735446844,0.06884039816500336,300,200,800,0.0,0.0,0,True,300,938479,132,0.5,0,0.6331493858218592,0.36685061417814085,0.5,0.5,0.0,29,0.1,0.23242846973945624,0.010996742703680283,0.032098410323161276,0.03442019908250168,,Extinct,Rare,Fast,Complex
13,10,0.7774315744803793,3,1.0809156814314178,1.4115027694034779,15,0.07754539384563232,2.377395679350278,0.05805674402110413,1.2687185393679892,0.28312917853007513,0.11162075064412286,0.024770354733441226,0.07789464379044958,300,200,800,0.0,0.0,0,True,299,804375,117,0.5,0,0.8512561943590347,0.14874380564096537,0.5,0.5,0.0,19,0.1,0.07365766747491648,0.005169692923042155,0.39423965846129155,0.03894732189522479,,Extinct,Rare,Slow,Complex
14,2,0.2189846725447457,2,0.833729422139835,1.2557115920212145,10,0.1820182503357684,1.649072713898693,0.05634693791721622,1.2758796416769322,0.3166056670858165,0.017780821536976237,0.02105012883163429,0.01391732037791833,300,200,800,0.0,0.0,0,True,299,695620,76,0.5,0,0.6073059949749248,0.39269400502507523,0.5,0.5,0.0,29,0.5,0.07189191095941018,0.01820182503357684,0.05616078101393149,0.006958660188959165,,Extinct,Frequent,Slow,Moderate
